instruction,input,output
How does the poet juxtapose the human condition with the behavior of the political class?,,"The poet juxtaposes the human condition of suffering and persecution with the indifferent and often hostile behavior of the political class, highlighting the disconnect between the two."
What is the essence of the poem captured in the lines 'two tickets to Happiness'?,,The essence of the poem captured in the lines 'two tickets to Happiness' is the unattainable dream of finding a place of safety and joy amidst the despair and persecution faced by the refugees.
Elaborate on the use of refrain in the poem 'Refugee Blues'.,,"The refrain 'my dear, but we are still alive' emphasizes the resilience and persistence of the refugees despite their dire circumstances."
What emotion does the color 'blue' suggest in the poem?,,"The color 'blue' suggests sadness, melancholy, and despair, reflecting the emotional state of the refugees."
What does the line 'If you’ve got no passport you’re officially dead’ signify?,,The line signifies the dehumanizing effect of bureaucratic systems that deny identity and rights to refugees.
How does the poem reflect the historical context of its time?,,The poem reflects the historical context of the rise of totalitarian regimes and the persecution of Jews during the time leading up to and during World War II.
"What is the significance of the line 'Went down to the station to catch the express, Asked for two tickets to Happiness'?",,"The line signifies the refugees' desperate search for a place of safety and happiness, which remains perpetually out of reach."
What action did the poet's father take regarding the tenants living near their house?,,He told them to leave.
Which trees were cut down by the poet's father?,,"The sheoga, the oudumber, and the neem."
What did the poet's grandmother say about trees?,,Trees are sacred.
Why was the banyan tree considered a problem?,,Because its roots lay deeper than all our lives.
How tall was the banyan tree compared to the poet's house?,,It was three times as tall as their house.
What was the circumference of the banyan tree's trunk?,,Fifty feet.
How long did it take to cut down the branches of the banyan tree?,,Seven days.
What happened to the insects and birds when the branches of the banyan tree were cut?,,They began to leave the tree.
How many men were involved in chopping down the banyan tree's trunk?,,Fifty men.
What was revealed about the banyan tree when it was being chopped down?,,Its rings showed it was two hundred years old.
What emotion does the poet experience upon hearing the nightingale's song?,,The poet experiences a state of ecstasy and a drowsy numbness.
"What does the poet wish for in the lines 'O, for a draught of vintage!'?",,The poet wishes for a drink of aged wine to escape the world and fade into the forest.
What does the nightingale symbolize in the poem?,,The nightingale symbolizes immortality and the timeless nature of art and beauty.
"What are the 'weariness, the fever, and the fret' that the poet wishes to forget?",,"These are the unpleasant aspects of the human condition, such as sorrow, despair, and the transience of beauty and love."
What is the significance of the word 'forlorn' in the poem?,,The word 'forlorn' signifies a sense of abandonment and the poet's return to reality from the dream-like state induced by the nightingale's song.
How does the poet describe the nightingale's song?,,The poet describes the nightingale's song as a 'plaintive anthem' that fades and is buried deep in the valley-glades.
What is the poet's attitude towards death as expressed in the poem?,,"The poet views death as something that does not affect the immortal nightingale, contrasting it with the mortality and suffering of humans."
What does the image of wine represent in the poem?,,"The image of wine represents inspiration, escape from reality, and the sensual pleasures associated with poetic imagination."
How does the poet use sensory imagery in the poem?,,"The poet uses sensory imagery by evoking the senses of sound (nightingale's song), sight (beechen green, shadows), and taste (vintage wine)."
What is the overall theme of 'Ode to a Nightingale'?,,The overall theme of the poem is the contrast between the transient nature of human life and the timeless beauty and joy found in art and nature.
What did the tiger people complain about to their king?,,They complained that they were starving and had not eaten for 15 days and 16 nights.
What did the tiger king plan to do about Ajamil's sheep dog?,,The tiger king planned to teach the sheep dog a lesson by leading an attack with many tigers.
What happened when the tigers attempted their attack on Ajamil's sheep?,,The sheep dog captured all 50 tigers and the tiger king as prisoners of war before they could get any sheep.
How did the tiger king explain their capture to Ajamil?,,The tiger king claimed they were coming as friends and there had been a misunderstanding.
What did Ajamil do after the tiger king's explanation?,,Ajamil cut them loose and invited them to stay for dinner.
What treaty did Ajamil propose to the tigers after dinner?,,Ajamil proposed a long-term friendship treaty.
What gifts did Ajamil give to the tigers before sending them back?,,"Ajamil gave them gifts of sheep, leather jackets, and balls of wool."
What is implied about Ajamil's character by the line 'Ajamil wasn’t a fool'?,,It implies that Ajamil is shrewd and understands the necessity of keeping the tigers fed to maintain peace.
What does the phrase 'play the flute all day' symbolize in the poem?,,It symbolizes Ajamil's carefree and content life as a result of the peace between the tigers and the sheep.
What is the central theme of the poem 'Ajamil and the Tigers'?,,The central theme is the satire of political relationships and the pragmatic approach to maintaining peace.
What was the initial condition of the narrator's watch?,,"The watch had run eighteen months without losing or gaining time, and without breaking any part of its machinery or stopping."
How did the narrator feel when the watch ran down for the first time?,,The narrator grieved about it as if it were a recognised messenger and forerunner of calamity.
What did the jeweller do to the watch that upset the narrator?,,"The jeweller set the watch by pushing up the regulator, despite the narrator's protests that the watch kept perfect time."
What unusual behavior did the watch exhibit after being adjusted by the jeweller?,,"The watch began to gain time faster and faster, eventually getting far ahead of all other timepieces in town."
How did the watchmaker react when the narrator took the watch to be regulated?,,The watchmaker looked at the watch with 'vicious happiness' and eagerly pried it open to find issues that needed fixing.
"What was the result of the watch being cleaned, oiled, and regulated by the watchmaker?",,"The watch slowed down significantly, causing the narrator to gradually drift back in time, even into the previous week."
What did the second watchmaker diagnose as the problem with the watch?,,The second watchmaker said the barrel was 'swelled' and needed to be reduced.
What issue did the third watchmaker find with the watch?,,The third watchmaker said the king-bolt was broken and needed to be repaired.
Describe the behavior of the watch after the king-bolt was repaired.,,"The watch would run for a while and then stop, repeating this pattern intermittently, and it would kick back like a musket each time it stopped."
What was the final bizarre behavior of the watch mentioned in the text?,,"After working quietly for nearly eight hours, everything inside the watch would suddenly let go, buzz like a bee, and the hands would spin round so fast that they seemed like a delicate spider’s web, completing the next twenty-four hours in six or seven minutes before stopping with a bang."
What are the three passions that have governed Bertrand Russell's life?,,"The longing for love, the search for knowledge, and unbearable pity for the suffering of mankind."
Why does Russell compare his three passions to 'great winds'?,,Because they have blown him in various directions throughout his life.
What does Russell mean by 'ocean of anguish'?,,It refers to the deep emotional pain and suffering he has experienced in life.
Why does Russell seek love?,,"Because it brings ecstasy, relieves loneliness, and offers a vision of heaven."
What is the Pythagorean power that Russell tried to apprehend?,,The power by which number holds sway over the flux.
Why does pity bring Russell back to earth?,,Because it reminds him of the suffering and pain in the world.
How does Russell describe the kind of love he has found?,,As a mystic miniature prefiguring vision of heaven.
What does Russell mean by 'unfathomable abyss'?,,"The cold, lifeless void that one looks into when experiencing loneliness."
How does Russell's concept of love compare to Martin Luther King's concept of agape?,,"Both emphasize a form of love that transcends personal gain and seeks the well-being of others, though Russell's love includes romantic and union aspects while King's agape is more about redemptive, unconditional love."
What role does pity play in Russell's life according to the passage?,,"Pity brings him back to earth, reminding him of the suffering and pain in the world, and motivating him to alleviate the evil he sees."
What does the text suggest about the attitudes of poets towards science?,,"The text suggests that poets like Wordsworth and Keats had a negative view of science, seeing it as something that diminishes the beauty and mystery of nature. However, it also points out that not all poets share this view, citing Shelley as an example of a poet who appreciated and was inspired by science."
How does Peter Medawar respond to the claim that science expels literature?,,"Peter Medawar counters this claim by suggesting that literature, in fact, expels science. He argues that science and literature do not represent complementary endeavors but rather compete with each other."
What is the significance of Desmond King-Hele's literary criticism of Shelley's work?,,"Desmond King-Hele's literary criticism of Shelley's work is significant because he is a distinguished scientist, highlighting the intersection between science and poetry in Shelley's writings."
What does A.N. Whitehead say about Shelley's attitude towards science?,,"A.N. Whitehead testifies that Shelley's attitude to science was at the opposite pole to that of Wordsworth. He loved science and expressed its thoughts in his poetry, symbolizing joy, peace, and illumination."
How does Charles Darwin describe his change in taste for poetry and the arts?,,"Charles Darwin confesses that up to the age of thirty, poetry and the arts gave him great pleasure, but later in life, he found them dull and nauseating, attributing this change to his mind becoming a 'machine for grinding general laws out of large collections of facts.'"
What was the initial reaction of Faraday's contemporaries to his ideas about electromagnetic induction?,,"Faraday's ideas about electromagnetic induction, such as 'lines of force' and 'fields of force,' were initially looked askance by many of his contemporaries, as they were foreign to the then prevailing modes of thought."
How did Maxwell view Faraday's contributions to science?,,"Maxwell viewed Faraday's contributions with prophetic discernment, recognizing him as a mathematician of a very high order whose ideas would be valuable and fertile for future scientists."
What was Faraday's response to Gladstone's question about the utility of his work on electricity?,,"Faraday responded to Gladstone's question with humor, saying, 'Why, Sir, there is every probability that you will soon be able to tax it.'"
What does Shelley say about the cultivation of sciences in his Defence of Poetry?,,"Shelley argues that the cultivation of sciences, without the poetical faculty, has enlarged man's empire over the external world but circumscribed the internal world, leaving man enslaved despite his technological advancements."
How does Shelley view the role of technology in modern society?,,"Shelley acknowledges the promoters of utility and technology as having an appointed office in society, following the footsteps of poets and making space and giving time, but he emphasizes the importance of the poetical faculty alongside technological progress."
What are the roots of India’s literary traditions traced back to?,,The rich oral literatures of the tribes/adivasis.
What form do the verses of tribal oral literature usually take?,,Songs or chanting.
What has resulted in the marginalisation of tribal communities and their literary cultures?,,"The forces of urbanisation, print culture and commerce."
What does G.N. Devy argue for in his essay?,,The need for a new method to identify and read literature where orality is not dismissed as casual utterances in different dialects.
What is one of the songs included in the section about?,,Childbirth by the Munda tribals.
How do tribal societies usually express their distinctive traditions?,,Through their different languages.
What is a prominent role that tribes like Santhal and Munda have played?,,In the socio-political movements of their regions.
What is evident from the tribal vision of life expressed in their songs?,,Their close connection with nature and belief in interdependence between human beings and nature.
What is a characteristic of tribal communities’ world-view?,,"Intimate link between nature, human beings and God."
How do tribal artists primarily work?,,On the basis of their racial and sensory memory rather than a cultivated imagination.
What is the author's definition of a 'good book'?,,"A book that is written with the intention of permanence, conveying true and useful knowledge or insight."
How does the author differentiate between a book and a letter or newspaper?,,"A book is written for permanence and deeper meaning, while a letter or newspaper is meant for immediate communication and may not hold lasting value."
What does the author believe is the purpose of writing a book?,,"To preserve true knowledge, insight, or beauty that the author perceives to be valuable and unique."
"According to the author, what qualities should a reader possess to truly appreciate a book?",,"A reader should possess honesty, kindness, and a genuine desire to learn and be taught by the author."
What is the author's view on the accessibility of great books and the company they offer?,,"Great books are accessible to anyone who seeks them, offering the company of the wise and mighty throughout history."
How does the author describe the court of the past in comparison to living aristocracy?,,"The court of the past is open to labor and merit, unlike living aristocracy which can be influenced by wealth, name, or artifice."
What does the author suggest readers do when approaching a book by a wiser author?,,"Readers should approach with humility, seeking to understand the author's meaning rather than finding their own thoughts reflected."
Why does the author believe wise men often hide their deeper thoughts?,,"Wise men hide their deeper thoughts as a form of reward, ensuring that only those who truly seek and deserve it will uncover them."
What comparison does the author make between the discovery of wisdom in books and the discovery of gold?,,Both wisdom in books and gold are hidden and require effort and worthiness to be discovered and appreciated.
What is the author's advice on how to engage with a book to gain the most from it?,,"Engage with a book by loving and respecting the author, seeking to be taught by them, and patiently uncovering their meaning over time."
What is the fundamental aspect of a novel according to the text?,,The fundamental aspect of a novel is its story-telling aspect.
How does the text describe the story within a novel?,,"The story within a novel is described as a 'backbone' or a 'tape-worm' that runs through the novel, with its beginning and end being arbitrary."
What is the significance of suspense in storytelling as mentioned in the text?,,"Suspense is significant in storytelling because it is the only literary tool that has any effect on tyrants and savages, as exemplified by Scheherazade's survival."
What does the text imply about the role of time in daily life versus in a novel?,,"The text implies that while daily life can sometimes disregard the sense of time, a novel must always adhere to the sequence of time to remain coherent."
How does the text characterize the audience's reaction to a story?,,"The text characterizes the audience's reaction to a story as being driven by primeval curiosity, wanting to know 'what happens next.'"
"What are the two lives that daily life is composed of, according to the text?",,Daily life is composed of 'the life in time' and 'the life by values.'
What is the author's opinion on the story as a literary organism?,,The author views the story as the 'lowest and simplest of literary organisms' but also as the 'highest factor common to all novels.'
How does the text describe the effect of certain literary devices on the perception of time within a novel?,,"The text describes how authors like Emily Bronte, Sterne, and Marcel Proust used various devices to manipulate the perception of time within their novels, yet these devices do not contravene the necessity of a time sequence."
What does the text suggest about the experience of mystics regarding the necessity of time?,,"The text suggests that the experience of certain mystics indicates that the necessity of time may not be universal, as they seem to deny the conventional sequence of time."
What is the author's stance on discussing the concept of time philosophically?,,The author states that discussing the concept of time philosophically is a dangerous hobby for an outsider and should be approached with caution.
What did the author's mother believe about her dancing abilities?,,The author's mother believed that she was 'born to dance'.
How did the author feel about her dance lessons as a child?,,The author did not enjoy her dance lessons as a child; she found them unfun and felt like she was just doing what her guru ordered without understanding the purpose.
What was the author's reaction to being called to the Principal's office?,,"The author was suspicious and wondered if she had done something wrong, as being called to the Principal's office usually indicated an infraction."
What significant event occurred three weeks before the author's final school examinations?,,"The author was called home because her mother was sick, and upon arrival, she learned that her mother had already passed away."
How did the author's experience of her mother's death influence her later work?,,"The author's experience of confusion and different kinds of hunger after her mother's death influenced her choreography, particularly in pieces like Duvidha."
"What was the author's father's profession, and how did it affect her childhood?",,"The author's father was an engineer, and his work required frequent moves, which led to the author being sent to boarding school at the age of nine."
"What was the author's initial impression of her Principal, Miss Cox?",,"The author found Miss Cox to be kind and diplomatic but also strict and firm, which later influenced the author's own teaching style."
What did the author envy about other girls at her school?,,The author envied the other girls who were playing sports like tennis and basketball while she was attending dance classes.
How did the author's mother justify her dance lessons to the school principal?,,The author's mother convinced the principal that dancing was a form of prayer and that she could not curb religious freedom.
What was the author's childhood like in terms of her education and surroundings?,,"The author's childhood education consisted of more than just dance and academics; she grew up during a volatile era marked by war and India's independence movement, which influenced her learning and experiences."
What is the title of the textbook?,,WOVEN WORDS TEXTBOOK IN ENGLISH FOR CLASS XI (ELECTIVE COURSE)
When was the first edition of the textbook published?,,March 2006
Who is the Chairperson of the advisory group in languages for this textbook?,,Professor Namwar Singh
What is the ISBN number of the textbook?,,81-7450-514-811074
Which organization published the textbook?,,National Council of Educational Research and Training (NCERT)
What is the price of the textbook as printed on the page?,,₹ 100.00
Where is the Publication Division of NCERT located in New Delhi?,,"Sri Aurobindo Marg, New Delhi 110016"
What is the phone number of the NCERT office in Bangalore?,,080-26725740
Who is the Chief Advisor for this textbook?,,Professor R. Amritavalli
"What is the main principle recommended by the National Curriculum Framework, (NCF) 2005?",,That children's life at school must be linked to their life outside the school.
Who is the author of 'The Last Lesson'?,,Alphonse Daudet
In which war is 'The Last Lesson' set?,,Franco-Prussian War
What regions passed into Prussian hands after the Franco-Prussian War?,,Alsace and Lorraine
What was Franz afraid of when he arrived late to school?,"I started for school very late that morning and was in great dread of a scolding, especially because M. Hamel had said that he would question us on participles, and I did not know the first word about them.",A scolding
What unusual sight did Franz see when he entered the classroom?,"But now it was all so still! I had counted on the commotion to get to my desk without being seen; but, of course, that day everything had to be as quiet as Sunday morning. Through the window I saw my classmates, already in their places, and M. Hamel walking up and down with his terrible iron ruler under his arm.",The classroom was unusually quiet and the village people were sitting in the back benches.
What was the significance of M. Hamel wearing his beautiful green coat?,"Not till then, when I had got a little over my fright, did I see that our teacher had on his beautiful green coat, his frilled shirt, and the little black silk cap, all embroidered, that he never wore except on inspection and prize days.","It indicated that it was a special day, his last lesson."
What order had come from Berlin regarding the schools of Alsace and Lorraine?,"""My children, this is the last lesson I shall give you. The order has come from Berlin to teach only German in the schools of Alsace and Lorraine. The new master comes tomorrow. This is your last French lesson. I want you to be very attentive.""",To teach only German in the schools.
Why did Franz feel regretful during the last lesson?,"Oh, how sorry I was for not learning my lessons, for seeking birds’ eggs, or going sliding on the Saar! My books, that had seemed such a nuisance a while ago, so heavy to carry, my grammar, and my history of the saints, were old friends now that I couldn’t give up.",He regretted not taking his lessons seriously and not appreciating his books and learning earlier.
What did M. Hamel say about the French language?,"Then he went on to talk of the French language, saying that it was the most beautiful language in the world — the clearest, the most logical; that we must guard it among us and never forget it, because when a people are enslaved, as long as they hold fast to their language it is as if they had the key to their prison.","He said it was the most beautiful, clearest, and most logical language and that holding onto it is like having the key to their prison when enslaved."
What was the atmosphere like during the writing lesson in the last class?,"You ought to have seen how every one set to work, and how quiet it was! The only sound was the scratching of the pens over the paper. Once some beetles flew in; but nobody paid any attention to them, not even the littlest ones,","The atmosphere was very quiet and focused, with everyone diligently working on their writing."
What is Saheb looking for in the garbage dumps?,"""Sometimes I find a Rupee in the garbage""",Saheb is looking for money or valuable items in the garbage dumps.
Where is Saheb and where has he come from?,"""Saheb left his home long ago. Set amidst the green fields of Dhaka, his home is not even a distant memory.""","Saheb is in the big city where he now lives, and he has come from Dhaka, a place with green fields."
What explanations does the author offer for the children not wearing footwear?,"""It is not lack of money but a tradition to stay barefoot, is one explanation. I wonder if this is only an excuse to explain away a perpetual state of poverty.""",The author suggests that it might be a tradition or an excuse to explain their perpetual state of poverty.
Is Saheb happy working at the tea-stall? Explain.,"""His face, I see, has lost the carefree look. The steel canister seems heavier than the plastic bag he would carry so lightly over his shoulder.""","No, Saheb is not happy working at the tea-stall. His face has lost its carefree look, and he seems burdened by his new job."
What does Saheb say he wants to do in the future?,"""If I start a school, will you come?"" ""Yes,"" he says, smiling broadly.",Saheb says he wants to go to school if one is built in his neighborhood.
What is the significance of the name 'Saheb-e-Alam' for the boy?,"""Saheb-e- Alam,"" he announces. He does not know what it means.","The name 'Saheb-e-Alam' means 'lord of the universe,' but the boy is unaware of its meaning."
Why did Saheb's family leave their home in Dhaka?,"""There were many storms that swept away their fields and homes, his mother tells him. That’s why they left, looking for gold in the big city where he now lives.""",Saheb's family left their home in Dhaka because storms destroyed their fields and homes.
What does garbage represent to the children of Seemapuri?,"""For the children it is wrapped in wonder, for the elders it is a means of survival.""","To the children of Seemapuri, garbage is wrapped in wonder, while for the elders, it is a means of survival."
What is Mukesh's dream for the future?,"""I want to drive a car"" Mukesh insists on being his own master. ""I will be a motor mechanic,"" he announces.",Mukesh dreams of becoming a motor mechanic and learning to drive a car.
"What is the main industry in Firozabad, and how does it affect the children there?","Every other family in Firozabad is engaged in making bangles. It is the centre of India’s glass-blowing industry where families have spent generations working around furnaces, welding glass, making bangles for all the women in the land it seems.","The main industry in Firozabad is glass-blowing and bangle-making. It affects the children by involving them in dangerous work around furnaces, often in violation of child labor laws."
What event led to William Douglas developing a fear of water?,,Being thrown into the deep end of a swimming pool by a older boy.
How did William Douglas feel when he was thrown into the pool?,,"He felt frightened and experienced sheer, stark terror."
What did William Douglas plan to do when his feet hit the bottom of the pool?,,"He planned to make a big jump, come to the surface, lie flat, and paddle to the edge."
What happened to William Douglas when he tried to swim to the surface?,,"He panicked, flailed at the surface, and felt a great force pulling him under."
How did William Douglas describe his experience as he went down for the third time in the pool?,,He felt a peaceful drowsiness and a blackness swept over his brain.
What was William Douglas's reaction after he was rescued and vomited beside the pool?,,"He was weak, trembling, and cried when he lay on his bed."
How did William Douglas's fear of water manifest in later years?,,He experienced terror and paralysis whenever he encountered water.
What did William Douglas's mother warn him about regarding the Yakima River?,,She warned him against the treacherous nature of the river and reminded him of drowning incidents.
What did William Douglas do to overcome his initial shyness about entering the pool?,,He subdued his pride and walked naked into the pool.
What was William Douglas's initial impression of the Y.M.C.A. pool?,,He found it safe because it was shallow at one end and had a gradual drop.
From where did the peddler get the idea of the world being a rattrap?,,The peddler got the idea of the world being a rattrap from his own thoughts while he was plodding along the road.
Why was he amused by this idea?,,"He was amused by this idea because the world had never been kind to him, and it gave him joy to think ill of it."
Did the peddler expect the kind of hospitality that he received from the crofter?,,"No, the peddler did not expect the kind of hospitality that he received from the crofter, as he was usually met with sour faces."
Why was the crofter so talkative and friendly with the peddler?,,The crofter was talkative and friendly with the peddler because he was lonely and happy to have someone to talk to.
Why did he show the thirty kroner to the peddler?,,He showed the thirty kroner to the peddler to prove that his cow was extraordinary and that he had received payment for her milk.
Did the peddler respect the confidence reposed in him by the crofter?,,"No, the peddler did not respect the confidence reposed in him by the crofter, as he stole the thirty kroner from the crofter's leather pouch."
What did the peddler feel as he walked away with the stolen money?,,He felt quite pleased with his smartness.
Why did the peddler decide to turn off the public highway into the woods?,,"He realized that at first he dared not continue on the public highway, so he turned off into the woods."
How did the peddler feel as he got lost in the forest?,,"He felt gloom and despair, thinking that his last moment had come."
What sound did the peddler hear that gave him hope?,,He heard the hard regular thumping of hammer strokes from an iron mill.
Who was Louis Fischer and what were his notable contributions?,,"Louis Fischer (1896-1970) was a journalist born in Philadelphia. He served in the British Army and wrote for publications like The New York Times and The Saturday Review. He was also a faculty member at Princeton University and authored 'The Life of Mahatma Gandhi', highly reviewed by Times Educational Supplement."
"After meeting Rajkumar Shukla in 1916, Gandhi decided to visit Champaran to investigate the issues faced by the sharecroppers.",,Gandhi decided to visit Champaran to investigate the issues faced by the sharecroppers.
Why did the servants at Rajendra Prasad's house not allow Gandhi to draw water from the well?,,"The servants did not allow Gandhi to draw water from the well because they were afraid that he might be an untouchable, and his touch could pollute the water source."
What was the sharecropping arrangement in Champaran regarding indigo cultivation?,,"In Champaran, the sharecroppers were compelled to plant 15% of their holdings with indigo and surrender the entire indigo harvest as rent to the British landlords."
Why did the British landlords in Champaran switch from indigo cultivation to seeking compensation?,,"The British landlords switched from indigo cultivation to seeking compensation because Germany had developed synthetic indigo, making natural indigo less valuable."
How did Gandhi react to the British official's order to leave Champaran?,,"Gandhi disobeyed the order to leave Champaran and signed a receipt for the notice, indicating his refusal to comply."
What was the immediate impact of Gandhi's presence in Motihari on the local peasants?,,"The immediate impact of Gandhi's presence in Motihari was a spontaneous demonstration by thousands of peasants around the courthouse, marking the beginning of their liberation from fear of the British."
Why did Gandhi telegraph Rajendra Prasad and send instructions to the ashram?,,Gandhi telegraphed Rajendra Prasad to come with influential friends and sent instructions to the ashram to mobilize support and prepare for the upcoming court appearance.
What role did Gandhi play in regulating the crowd during his court appearance in Motihari?,,"Gandhi helped the officials regulate the crowd by cooperating with them, demonstrating his influence and the respect he commanded among the peasants."
What was the significance of the peasants' demonstration around the courthouse in Motihari?,,The peasants' demonstration around the courthouse in Motihari signified their liberation from fear of the British and marked the beginning of their active participation in the struggle for justice.
What is the significance of the brand name 'Pancake' in the context of Gemini Studios?,,"'Pancake' was the brand name of the make-up material that Gemini Studios bought in large quantities. It was used by many famous actors and actresses, symbolizing the studio's connection to the glamour and professionalism of the film industry."
Who was the founder of Gemini Studios and when was it established?,,"The founder of Gemini Studios was S.S. Vasan, and it was established in 1940."
What was Asokamitran's duty at Gemini Studios?,,Asokamitran's duty at Gemini Studios was to cut out newspaper clippings on a wide variety of subjects and store them in files.
Describe the make-up department at Gemini Studios.,,The make-up department at Gemini Studios was located in the upstairs of a building believed to have been Robert Clive’s stables. It had the look of a hair-cutting salon with lights at all angles around half a dozen large mirrors. The department was nationally integrated with staff from various regions of India.
What does the author mean by 'the fiery misery' of those subjected to make-up?,,"The author refers to the discomfort and heat caused by the incandescent lights used in the make-up room, which made the process miserable for those being made up."
Provide an example of national integration mentioned by the author.,,"The example of national integration is the diverse staff in the make-up department, which included a Bengali, a Maharashtrian, a Dharwar Kannadiga, an Andhra, a Madras Indian Christian, an Anglo-Burmese, and local Tamils."
What work did the 'office boy' do in the Gemini Studios? Why did he join the studios? Why was he disappointed?,,"The 'office boy' mixed paint in a giant vessel and applied it to the crowd players. He joined the studios hoping to become a star actor or a top screen writer, director, or lyrics writer. He was disappointed because he never achieved his ambitions and remained an 'office boy'."
Why did the author appear to be doing nothing at the studios?,,"The author appeared to be doing nothing because he was seen sitting at his desk tearing up newspapers, which most people, including the Boss, misunderstood as a trivial task."
Who was Kothamangalam Subbu and what was his role at Gemini Studios?,,"Kothamangalam Subbu was the No. 2 at Gemini Studios. He was a versatile talent who contributed to the studio's success through his creative ideas, loyalty, and ability to inspire others."
What were some of Kothamangalam Subbu's literary and artistic achievements?,,"Subbu composed several original 'story poems' in folk refrain and diction, wrote a sprawling novel 'Thillana Mohanambal,' and was an amazing actor who performed subsidiary roles better than the main players."
What is the primary opinion of the interview as a medium of communication?,,It is a supremely serviceable medium of communication.
Why did Lewis Carroll refuse to be interviewed?,,He had a just horror of the interviewer and did not want to be lionized.
What did Rudyard Kipling's wife report him saying about interviews?,,"He considered interviews immoral, a crime, and cowardly."
How did H. G. Wells refer to the experience of being interviewed?,,He called it 'the interviewing ordeal'.
What metaphor did Saul Bellow use to describe interviews?,,He described them as 'thumbprints on his windpipe'.
What does Denis Brian say about the power of interviewers?,,He says interviewers hold a position of unprecedented power and influence.
What is the significance of 'interstices' in Umberto Eco's work routine?,,"Interstices are the empty spaces in life where Eco finds time to work, such as waiting for an elevator."
How did Umberto Eco's first Doctoral dissertation differ from typical academic styles?,,"Eco's dissertation told the story of his research, including trials and errors, rather than just presenting conclusions."
What did Umberto Eco's professor recognize about his dissertation?,,The professor recognized that Eco was right in his approach and published his dissertation as a book.
Why did Umberto Eco start writing novels later in life?,,"Eco started writing novels by accident and did not feel the same frustration as Roland Barthes, who wanted to be a novelist but died before he could."
Where does A. R. Barton live and write?,,"Zurich, and writes in English."
What theme does Barton explore in the story 'Going Places'?,,Adolescent fantasizing and hero worship.
What does Sophie plan to do when she leaves school?,"""When I leave,"" Sophie said, coming home from school, ""I’m going to have a boutique.""",Have a boutique.
What is Jansie's reaction to Sophie's plans?,"""Takes money, Soaf, something like that.""",She looks doubtful and mentions that it takes money.
What does Sophie compare herself to in terms of natural talent?,"""I’ll be like Mary Quant,"" Sophie said. ""I’ll be a natural.""",Mary Quant.
What job are Sophie and Jansie expected to take?,"Jansie, knowing they were both earmarked for the biscuit factory, became melancholy.",Working at the biscuit factory.
What does Sophie's father do for a living?,"Sophie’s father was scooping shepherd’s pie into his mouth as hard as he could go, his plump face still grimy and sweat — marked from the day.","His job is not explicitly mentioned, but he comes home grimy and sweaty, suggesting manual labor."
What is Geoff's occupation?,"He was three years out of school, an apprentice mechanic, travelling to his work each day to the far side of the city.",Apprentice mechanic.
Who is Danny Casey and what is Sophie's claim about him?,"""I met Danny Casey,"" Sophie said. ... ""He told me so.""","Danny Casey is a young Irish prodigy, and Sophie claims to have met him and that he told her he would buy a shop."
How does Geoff react to Sophie's claim about meeting Danny Casey?,"""He don’t believe you-though he’d like to.""",Geoff does not believe Sophie but would like to believe her story.
What is the kind of pain and ache that the poet feels?,,"The poet feels a deep emotional pain and ache, stemming from the realization of her mother's old age and mortality."
Why are the young trees described as ‘sprinting’?,,The young trees are described as ‘sprinting’ to contrast the vitality and energy of youth with the poet's feelings of her mother's aging and mortality.
Why has the poet brought in the image of the merry children ‘spilling out of their homes’?,,The image of merry children ‘spilling out of their homes’ is used to highlight the contrast between the liveliness of youth and the poet's somber thoughts about her aging mother.
Why has the mother been compared to the ‘late winter’s moon’?,,"The mother is compared to the ‘late winter’s moon’ to convey her pale, colorless, and frail appearance, emphasizing her old age and the poet's sense of loss."
What do the parting words of the poet and her smile signify?,,"The parting words 'see you soon, Amma' and the poet's smile signify her attempt to mask her inner turmoil and fear with a facade of reassurance and hope."
Where was the poet driving from and to?,,The poet was driving from her parent’s home to Cochin.
What did the poet notice about her mother’s appearance?,,The poet noticed that her mother’s face was ashen like that of a corpse and she looked very old.
What does the single sentence structure of the poem indicate?,,"The single sentence structure of the poem indicates a continuous thread of thought interspersed with observations of the real world, showing how these are connected to the main idea."
What is the significance of the poet’s childhood fear resurfacing?,,The resurfacing of the poet’s childhood fear signifies her deep-seated anxiety and emotional pain upon realizing her mother’s old age and mortality.
How does the poet contrast her mother’s appearance with the surroundings?,,The poet contrasts her mother’s pale and frail appearance with the vibrant and lively images of young trees sprinting and merry children spilling out of their homes.
What is the pen name of Neftali Ricardo Reyes Basoalto?,,Pablo Neruda
In which year did Pablo Neruda win the Nobel Prize for Literature?,,1971
What does the poet suggest we do for one second in the poem?,Now we will count to twelve and we will all keep still.,Not speak in any language and not move our arms so much.
What does the poet hope to achieve by counting up to twelve and keeping still?,,A huge silence might interrupt the sadness of never understanding ourselves and threatening ourselves with death.
Does the poet advocate total inactivity and death in the poem?,,"No, the poet wants no truck with death and does not advocate total inactivity."
What is the ‘sadness’ that the poet refers to in the poem?,,The sadness of never understanding ourselves and threatening ourselves with death.
What symbol from Nature does the poet use to suggest that there can be life under apparent stillness?,,"The Earth, when everything seems dead and later proves to be alive."
What does the phrase 'to have no truck with' mean in the context of the poem?,,"To refuse to associate or deal with, to refuse to tolerate something."
What activity does the poet suggest readers try out to experience the theme of the poem?,,Choose a quiet corner and keep still physically and mentally for about five minutes.
